layer,group,distance_key,metric,property,n,mean,std,sem
Top,Ref,edistancec_nor,ED,OH,11,0.021806109463587617,0.002223080755324552,0.0006702840676428561
Top,Ref,edistancec_nor,ED,HOH,11,0.024308996743274004,0.0020292361979814353,0.0006118377345192515
Top,Ref,edistancec_nor,ED,ZOH,11,0.03955300861877487,0.011395104969853543,0.0034357534210652982
Top,Ref,edistancec_nor,ED,Hbond,11,0.0963833882432794,0.022360975915651747,0.0067420879143991475
Top,Ref,edistancec_nor,ED,OrderP,11,0.2590098852381029,0.017491861054529795,0.0052739945457186965
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,OO,11,0.010650441045892821,0.0027253055426715556,0.0008217105385561325
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,OH,11,0.019591751811166427,0.0014076416910505786,0.0004244199389523769
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,HOH,11,0.024874235321097508,0.0017719321891396121,0.0005342576568481047
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,ZOH,11,0.02820563919214444,0.009679327712028023,0.0029184271130623775
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,Hbond,11,0.04176203619768944,0.01639083114083033,0.004942021536018832
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,edistancec_nor,ED,OrderP,11,0.24951792314305,0.03399292613306611,0.010249252864513362
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,OO,10,0.009375440083210774,0.0011587810100694446,0.0003664387301169954
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,OH,10,0.018615708881767657,0.0016919506748193799,0.0005350417821088139
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,HOH,10,0.022311952704815684,0.0023371969977798103,0.0007390865853491699
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,ZOH,10,0.037129703839061,0.01045011868261961,0.0033046176856156204
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,Hbond,10,0.027175587643926025,0.009756376102384163,0.003085237019277008
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,edistancec_nor,ED,OrderP,10,0.24531680856426266,0.030317027804200397,0.009587085974792653
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,OO,11,0.0119171867256867,0.0032416114414443825,0.0009773826243085584
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,OH,11,0.0201667397415644,0.0019193357005759166,0.0005787014877767485
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,HOH,11,0.02324831273989542,0.0027079740683479394,0.0008164849024293039
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,ZOH,11,0.041028207743320874,0.01740988425431264,0.00524927761046104
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,Hbond,11,0.046528787297849705,0.01732850806951488,0.005224741767566058
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,edistancec_nor,ED,OrderP,11,0.2580547052177222,0.03706675098924691,0.011176045929896985
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,OO,11,0.010449867680614094,0.0020463408616199046,0.0006169949846514367
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,OH,11,0.018686050653612254,0.001716437734360728,0.0005175254491711134
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,HOH,11,0.02167498460948311,0.0020610860795827577,0.0006214408351455088
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,ZOH,11,0.03491415662763565,0.007657586604150243,0.002308849233238011
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,Hbond,11,0.02907567175856405,0.012266656770738486,0.003698536176419289
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,edistancec_nor,ED,OrderP,11,0.2416895081981292,0.030909589052794888,0.00931959175565431
Top,Ref,mdistancec_nor,MMD,OO,11,0.3777380371048389,0.023580884911130362,0.007109904315888414
Top,Ref,mdistancec_nor,MMD,OH,11,0.6292207091627587,0.013833970877818713,0.004171099160220745
Top,Ref,mdistancec_nor,MMD,HOH,11,0.6807306902414686,0.0217997238354004,0.006572864045035497
Top,Ref,mdistancec_nor,MMD,ZOH,11,0.21794010225112215,0.032270338631216554,0.009729873190677852
Top,Ref,mdistancec_nor,MMD,Hbond,11,0.44977681612878123,0.03868803874746528,0.011664882581824874
Top,Ref,mdistancec_nor,MMD,OrderP,11,0.6487248559815245,0.023691672139567004,0.0071433079220963895
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,OO,11,0.3307297047834266,0.031284454588295936,0.009432617967299094
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,OH,11,0.6330235378658642,0.014525383285965284,0.004379567845058767
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,HOH,11,0.6980450300529001,0.01833855928121427,0.005529283666497941
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,ZOH,11,0.18863093822383795,0.035788952315417684,0.010790775133651053
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,Hbond,11,0.2982604117216889,0.04870085182392532,0.014683859315514155
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,mdistancec_nor,MMD,OrderP,11,0.6388046388943809,0.03102094753267159,0.00935316760065207
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,OO,10,0.3138101552486602,0.011061592287495807,0.003497982617663883
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,OH,10,0.6217908751391874,0.012829659788009175,0.004057094653518199
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,HOH,10,0.6813025396115694,0.017317485419973265,0.005476269727387308
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,ZOH,10,0.2124556465297356,0.03308782774580087,0.010463289850404556
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,Hbond,10,0.2496954683472022,0.029821752620516364,0.009430466209892671
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,mdistancec_nor,MMD,OrderP,10,0.6451239296551358,0.03153700492477996,0.009972876614225183
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,OO,11,0.3386053293716922,0.0343532101093027,0.010357882570618279
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,OH,11,0.6338523198138382,0.011818481763528899,0.003563406327389377
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,HOH,11,0.6916098096534088,0.019252980109710358,0.00580499192000771
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,ZOH,11,0.22228535951663472,0.056653538028540625,0.017081684426072746
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,Hbond,11,0.32173448368003577,0.05469212695615404,0.016490296736367756
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,mdistancec_nor,MMD,OrderP,11,0.6410392194577275,0.04773169962725165,0.014391648933594584
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,OO,11,0.318897095283908,0.021039742897548393,0.006343721170610268
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,OH,11,0.6218201662526878,0.013509704890098884,0.004073329286262503
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,HOH,11,0.6754869481043662,0.019124958753617482,0.005766392028797477
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,ZOH,11,0.20700136014457413,0.024380964130608487,0.007351137277121991
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,Hbond,11,0.2636874880292344,0.04047520321499406,0.01220373294341108
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,mdistancec_nor,MMD,OrderP,11,0.6325118236056245,0.03519105709718465,0.010610502942484994
